URI,ResourceType,Methods,Actions,Status,Manufacturer,Model,PartNumber,SerialNumber,UUID
/redfish/v1/JsonSchemas/DumpCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/DumpService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/EnvironmentMetrics,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/EthernetInterface,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/EthernetInterfaceCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Event,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/EventDestination,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/EventDestinationCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/EventService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/FabricAdapter,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/FabricAdapterCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Fan,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/FanCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/FanMode,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/FilterRule,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/FilterRuleCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/GPUDevice,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/HARAIDController,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/IKVM,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/IPAccessControl,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/IPAddresses,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/IPMIConfig,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/JsonSchemaFile,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/JsonSchemaFileCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/KCSInterface,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/LicenseManager,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/LldpService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/LogEntry,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/LogEntryCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/LogService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/LogServiceCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Manager,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ManagerAccount,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ManagerAccountCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ManagerCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ManagerConfig,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ManagerDiagnosticData,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ManagerNetworkProtocol,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Memory,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MemoryCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MemoryHealthComp,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MemoryPFA,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Message,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MessageRegistry,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MessageRegistryCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MessageRegistryFile,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MessageRegistryFileCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
